;"referenceName";"vernacularName";"type";"family"
;"Loxia pytyopsittacus Borkhausen, 1793";"Bec-croisé perroquet";"Passeriformes (Passereaux)";"Fringillidae (Pinsons, Becs-croisés, Linottes)"
;"Loxigilla noctis (Linnaeus, 1766)";"Sporophile - Rouge gorge, Père noir (mâle), Moisson (femelle), Gros bec (femelle)";"Passeriformes (Passereaux)";"Thraupidae"
;"Loxigilla noctis desiradensis Danforth, 1937";;"Passeriformes (Passereaux)";"Thraupidae"
;"Loxigilla noctis dominicana (Ridgway, 1898)";;"Passeriformes (Passereaux)";"Thraupidae"
;"Loxigilla noctis ridgwayi (Cory, 1892)";;"Passeriformes (Passereaux)";"Thraupidae"
;"Lullula arborea (Linnaeus, 1758)";"Alouette lulu";"Passeriformes (Passereaux)";"Alaudidae"
;"Lurocalis semitorquatus (Gmelin, 1789)";"Engoulevent à queue courte";"Caprimulgiformes";"Caprimulgidae"
;"Luscinia luscinia (Linnaeus, 1758)";"Rossignol progné";"Passeriformes (Passereaux)";"Saxicolidae"
;"Luscinia megarhynchos C. L. Brehm, 1831";"Rossignol philomèle";"Passeriformes (Passereaux)";"Saxicolidae"
;"Luscinia svecica (Linnaeus, 1758)";"Gorgebleue à miroir";"Passeriformes (Passereaux)";"Saxicolidae"
;"Luscinia svecica cyanecula (Wolf, 1810)";;"Passeriformes (Passereaux)";"Saxicolidae"
;"Luscinia svecica namnetum Mayaud, 1934";;"Passeriformes (Passereaux)";"Saxicolidae"
;"Luscinia svecica svecica (Linnaeus, 1758)";;"Passeriformes (Passereaux)";"Saxicolidae"
;"Lymnocryptes minimus (Brünnich, 1764)";"Bécassine sourde";"Charadriiformes (Limicoles)";"Scolopacidae (Bécasses)"
;"Lyrurus tetrix (Linnaeus, 1758)";"Tétras lyre";"Galliformes";"Phasianidae (Tétras)"
;"Macronectes giganteus (Gmelin, 1789)";"Fulmar géant, Pétrel géant";"Procellariiformes (Pétrels tempêtes, Albatros)";"Procellariidae"
;"Macronectes halli Mathews, 1912";"Fulmar de Hall, Pétrel de Hall";"Procellariiformes (Pétrels tempêtes, Albatros)";"Procellariidae"
;"Macropygia arevarevauupa Steadman, 1992";;"Columbiformes (Pigeons, Tourterelles)";"Columbidae"
;"Macropygia heana Steadman, 1992";;"Columbiformes (Pigeons, Tourterelles)";"Columbidae"
;"Malacoptila fusca (Gmelin, 1788)";"Tamatia brun";"Piciformes (Pics)";"Bucconidae"
;"Manacus manacus (Linnaeus, 1766)";"Manakin casse-noisette";"Passeriformes (Passereaux)";"Pipridae"
;"Mareca americana (Gmelin, 1789)";"Canard à front blanc, Canard d'Amérique";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Mareca penelope (Linnaeus, 1758)";"Canard siffleur";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Mareca strepera (Linnaeus, 1758)";"Canard chipeau";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Margaroperdix madagarensis (Scopoli, 1786)";"Perdrix de Madagascar";"Galliformes";"Phasianidae (Tétras)"
;"Margarops fuscatus (Vieillot, 1808)";"Moqueur corossol";"Passeriformes (Passereaux)";"Mimidae"
;"Marmaronetta angustirostris (Ménétries, 1832)";"Sarcelle marbrée";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Mascarenotus grucheti Mourer-Chauviré, Bour, Moutou & Ribes, 1994";;"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Mascarinus mascarin (Linnaeus, 1771)";;"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Megaceryle alcyon (Linnaeus, 1758)";"Martin-pêcheur d'Amérique";"Coraciiformes (Guêpiers)";"Alcedinidae"
;"Megaceryle torquata (Linnaeus, 1766)";"Martin-pêcheur à ventre roux";"Coraciiformes (Guêpiers)";"Alcedinidae"
;"Megaceryle torquata stictipennis (Lawrence, 1885)";;"Coraciiformes (Guêpiers)";"Alcedinidae"
;"Megalurulus mariei J. Verreaux, 1869";"Mégalure calédonienne, Fauvette calédonienne";"Passeriformes (Passereaux)";"Sylviidae"
;"Megapodius molistructor Balouet & Olson, 1989";;"Galliformes";"Megapodiidae"
;"Megarynchus pitangua (Linnaeus, 1766)";"Tyran pitangua";"Passeriformes (Passereaux)";"Tyrannidae"
;"Megascops choliba (Vieillot, 1817)";"Petit-duc choliba";"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Megascops choliba cruciger (Spix, 1824)";;"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Megascops guatemalae (Sharpe, 1875)";;"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Megascops guatemalae roraimae (Salvin, 1897)";"Petit-duc du Roraima";"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Megascops watsonii (Cassin, 1848)";"Petit-duc de Watson";"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Melanerpes candidus (Otto, 1796)";"Pic dominicain";"Piciformes (Pics)";"Picidae"
;"Melanerpes cruentatus (Boddaert, 1783)";"Pic à chevron d'or";"Piciformes (Pics)";"Picidae"
;"Melanerpes erythrocephalus (Linnaeus, 1758)";;"Piciformes (Pics)";"Picidae"
;"Melanerpes herminieri (Lesson, 1830)";"Pic de la Guadeloupe, Tapeur";"Piciformes (Pics)";"Picidae"
;"Melanitta americana (Swainson, 1832)";"Macreuse à bec jaune";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Melanitta deglandi (Bonaparte, 1850)";"Macreuse à ailes blanches";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Melanitta fusca (Linnaeus, 1758)";"Macreuse brune";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Melanitta nigra (Linnaeus, 1758)";"Macreuse noire";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Melanitta perspicillata (Linnaeus, 1758)";"Macreuse à front blanc";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Melanocorypha calandra (Linnaeus, 1766)";"Alouette calandre";"Passeriformes (Passereaux)";"Alaudidae"
;"Meleagris gallopavo (Linnaeus, 1758)";"Dindon sauvage";"Galliformes";"Phasianidae (Tétras)"
;"Melopsittacus undulatus (Shaw, 1805)";"Perruche ondulée";"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Melospiza georgiana (Latham, 1790)";"Pinson des marais";"Passeriformes (Passereaux)";"Emberizidae (Bruants)"
;"Melospiza lincolnii (Audubon, 1834)";"Pinson de Lincoln";"Passeriformes (Passereaux)";"Emberizidae (Bruants)"
;"Melospiza melodia (Wilson, 1810)";"Bruant chanteur";"Passeriformes (Passereaux)";"Emberizidae (Bruants)"
;"Mergellus albellus (Linnaeus, 1758)";"Harle piette";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Mergus merganser Linnaeus, 1758";"Harle bièvre";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Mergus serrator Linnaeus, 1758";"Harle huppé";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Merops apiaster Linnaeus, 1758";"Guêpier d'Europe";"Coraciiformes (Guêpiers)";"Meropidae"
;"Merops persicus Pallas, 1773";"Guêpier de Perse";"Coraciiformes (Guêpiers)";"Meropidae"
;"Merops superciliosus Linnaeus, 1766";"Guêpier malgache";"Coraciiformes (Guêpiers)";"Meropidae"
