referenceName;vernacularName ;type ;family
Cuculus poliocephalus Latham, 1790;;Cuculiformes (Coucous);Cuculidae
Cuculus rochii Hartlaub, 1863;Coucou de Madagascar;Cuculiformes (Coucous);Cuculidae
Cuculus solitarius Stephens, 1815;;Cuculiformes (Coucous);Cuculidae
Cursorius cursor (Latham, 1787);Courvite isabelle;Charadriiformes (Limicoles);Glareolidae
Cyanerpes caeruleus (Linnaeus, 1758);Guit-guit cÇrulÇen;Passeriformes (Passereaux);Thraupidae
Cyanerpes cyaneus (Linnaeus, 1766);Guit-guit saã;Passeriformes (Passereaux);Thraupidae
Cyanerpes nitidus (Hartlaub, 1847);;Passeriformes (Passereaux);Thraupidae
Cyanicterus cyanicterus (Vieillot, 1819);Tangara cyanictäre;Passeriformes (Passereaux);Thraupidae
Cyanistes caeruleus (Linnaeus, 1758);MÇsange bleue;Passeriformes (Passereaux);Paridae (MÇsanges)
Cyanocitta cristata (Linnaeus, 1758);Geai bleu;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Cyanocompsa cyanoides (Lafresnaye, 1847);êvàque bleu-noir;Passeriformes (Passereaux);Cardinalidae
Cyanocompsa cyanoides rothschildii (Bartlett, 1890);;Passeriformes (Passereaux);Cardinalidae
Cyanocorax cayanus (Linnaeus, 1766);Geai de Cayenne;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Cyanophaia bicolor (Gmelin, 1788);Colibri Ö tàte bleue;Caprimulgiformes;Trochilidae
Cyanopica cyanus (Pallas, 1776);Pie bleue;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Cyanoramphus saisseti J. Verreaux & Des Murs, 1860;Perruche calÇdonienne, Perruche Ö front rouge;Psittaciformes (Perroquets, perruches);Psittacidae
Cyanoramphus ulietanus (Gmelin, 1788);;Psittaciformes (Perroquets, perruches);Psittacidae
Cyanoramphus zealandicus (Latham, 1790);;Psittaciformes (Perroquets, perruches);Psittacidae
Cyclarhis gujanensis (Gmelin, 1789);Sourciroux mÇlodieux;Passeriformes (Passereaux);Vireonidae
Cygnus atratus (Latham, 1790);Cygne noir;Anseriformes (Canards, Oies, Cygnes);Anatidae
Cygnus columbianus (Ord, 1815);Cygne de Bewick;Anseriformes (Canards, Oies, Cygnes);Anatidae
Cygnus columbianus bewickii (Yarrel, 1830);Cygne de Bewick;Anseriformes (Canards, Oies, Cygnes);Anatidae
Cygnus cygnus (Linnaeus, 1758);Cygne chanteur;Anseriformes (Canards, Oies, Cygnes);Anatidae
Cygnus olor (Gmelin, 1803);Cygne tuberculÇ;Anseriformes (Canards, Oies, Cygnes);Anatidae
Cymbilaimus lineatus (Leach, 1814);Batara fasciÇ;Passeriformes (Passereaux);Thamnophilidae
Cyphorhinus arada (Hermann, 1783);Troglodyte arada;Passeriformes (Passereaux);Troglodytidae
Cypseloides cryptus J.T.Zimmer, 1945;Martinet Ö menton blanc;Caprimulgiformes;Apodidae
Cypseloides niger (Gmelin, 1789);Martinet sombre;Caprimulgiformes;Apodidae
Cypsiurus parvus (Lichtenstein, 1823);Martinet des palmes;Caprimulgiformes;Apodidae
Cypsiurus parvus griveaudi;Martinet des Palmes;Caprimulgiformes;Apodidae
Cypsnagra hirundinacea (Lesson, 1823);;Passeriformes (Passereaux);Thraupidae
Dacnis cayana (Linnaeus, 1766);Dacnis bleu;Passeriformes (Passereaux);Thraupidae
Dacnis lineata (Gmelin, 1789);Dacnis Ö coiffe bleue;Passeriformes (Passereaux);Thraupidae
Daption capense (Linnaeus, 1758);Damier du Cap;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Daptrius ater Vieillot, 1816;Caracara noir;Falconiformes (Rapaces diurnes);Falconidae
Deconychura longicauda (Pelzeln, 1868);Grimpar Ö longue queue;Passeriformes (Passereaux);Furnariidae
Delichon urbicum (Linnaeus, 1758);Hirondelle de fenàtre;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Dendrexetastes rufigula (Lesson, 1844);Grimpar Ö collier;Passeriformes (Passereaux);Furnariidae
Dendrocincla fuliginosa (Vieillot, 1818);Grimpar enfumÇ;Passeriformes (Passereaux);Furnariidae
Dendrocincla merula (Lichtenstein, 1820);Grimpar Ö menton blanc;Passeriformes (Passereaux);Furnariidae
Dendrocolaptes certhia (Boddaert, 1783);Grimpar barrÇ;Passeriformes (Passereaux);Furnariidae
Dendrocolaptes picumnus (Lichtenstein, 1820);Grimpar variÇ;Passeriformes (Passereaux);Furnariidae
Dendrocopos leucotos (Bechstein, 1803);Pic Ö dos blanc;Piciformes (Pics);Picidae
Dendrocopos major (Linnaeus, 1758);Pic Çpeiche;Piciformes (Pics);Picidae
Dendrocopos medius (Linnaeus, 1758);Pic mar;Piciformes (Pics);Picidae
Dendrocopos minor (Linnaeus, 1758);Pic Çpeichette;Piciformes (Pics);Picidae
Dendrocygna arborea (Linnaeus, 1758);Dendrocygne des Antilles;Anseriformes (Canards, Oies, Cygnes);Anatidae
Dendrocygna arcuata (Horsfield, 1824);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Dendrocygna arcuata arcuata (Horsfield, 1824);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Dendrocygna autumnalis (Linnaeus, 1758);Dendrocygne Ö ventre noir;Anseriformes (Canards, Oies, Cygnes);Anatidae
Dendrocygna bicolor (Vieillot, 1816);Dendrocygne fauve;Anseriformes (Canards, Oies, Cygnes);Anatidae
Dendrocygna viduata (Linnaeus, 1766);Dendrocygne veuf;Anseriformes (Canards, Oies, Cygnes);Anatidae
Dendroplex picus (Gmelin, 1788);Grimpar talapiot;Passeriformes (Passereaux);Furnariidae
Deroptyus accipitrinus (Linnaeus, 1758);Papegeai maillÇ;Psittaciformes (Perroquets, perruches);Psittacidae
Dicrurus waldenii Schlegel, 1865;Drongo de Mayotte;Passeriformes (Passereaux);Corvidae (Corbeaux, Corneilles, Pies, Geais, Casse-noix)
Diomedea bulleri (Rothschild, 1893);;Procellariiformes (PÇtrels tempàtes, Albatros);Diomedeidae (Albatros)
Diomedea epomophora Lesson, 1825;;Procellariiformes (PÇtrels tempàtes, Albatros);Diomedeidae (Albatros)
Diomedea exulans amsterdamensis Roux, Jouventin, Mougin, Stahl & Weimerskirch, 1983;Albatros d'Amsterdam;Procellariiformes (PÇtrels tempàtes, Albatros);Diomedeidae (Albatros)
Diomedea exulans Linnaeus, 1758;Albatros hurleur, Grand albatros;Procellariiformes (PÇtrels tempàtes, Albatros);Diomedeidae (Albatros)
Diopsittaca nobilis (Linnaeus, 1758);Ara noble;Psittaciformes (Perroquets, perruches);Psittacidae
Discosura longicaudus (Gmelin, 1788);Coquette Ö raquettes;Caprimulgiformes;Trochilidae
Dixiphia pipra (Linnaeus, 1758);Manakin Ö tàte blanche;Passeriformes (Passereaux);Pipridae
Dolichonyx oryzivorus (Linnaeus, 1758);Goglu des prÇs, Bobolink;Passeriformes (Passereaux);Icteridae
Donacobius atricapilla (Linnaeus, 1766);Donacobe Ö miroir, Troglodyte Ö miroir;Passeriformes (Passereaux);Donacobiidae
Drepanoptila holosericea (Temminck, 1809);Ptilope vlouvlou, Pigeon vert;Columbiformes (Pigeons, Tourterelles);Columbidae
Dromas ardeola Paykull, 1805;Drome ardÇole;Charadriiformes (Limicoles);Glareolidae
Dromococcyx pavoninus Pelzeln, 1870;GÇocoucou pavonin;Cuculiformes (Coucous);Cuculidae
Dromococcyx phasianellus (Spix, 1824);;Cuculiformes (Coucous);Cuculidae
Dryocopus lineatus (Linnaeus, 1766);Pic ouentou;Piciformes (Pics);Picidae
Dryocopus martius (Linnaeus, 1758);Pic noir;Piciformes (Pics);Picidae
Dryolimnas augusti Mourer-ChauvirÇ, Bour, Ribes & Moutou, 1999;;Gruiformes (Grues);Rallidae
Ducula aurorae (Peale, 1848);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ducula galeata (Bonaparte, 1855);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ducula goliath (Gray, 1859);Carpophage gÇant, Notou;Columbiformes (Pigeons, Tourterelles);Columbidae
Ducula pacifica (Gmelin, 1789);;Columbiformes (Pigeons, Tourterelles);Columbidae
Ducula pacifica pacifica (Gmelin, 1789);Carpophage pacifique;Columbiformes (Pigeons, Tourterelles);Columbidae
Dumetella carolinensis (Linnaeus, 1766);Moqueur chat;Passeriformes (Passereaux);Mimidae
