referenceName;vernacularName ;type ;family
Accipiter bicolor (Vieillot, 1817);êpervier bicolore;Accipitriformes;Accipitridae
Accipiter cooperii (Bonaparte, 1828);êpervier de Cooper;Accipitriformes;Accipitridae
Accipiter efficax Balouet & Olson, 1989;;Accipitriformes;Accipitridae
Accipiter fasciatus (Vigors & Horsfield, 1826);;Accipitriformes;Accipitridae
Accipiter fasciatus vigilax (Wetmore, 1926);Autour australien, êmouchet gris;Accipitriformes;Accipitridae
Accipiter francesii A. Smith, 1834;êpervier de Mayotte;Accipitriformes;Accipitridae
Accipiter francesii brutus (Schlegel, 1866);êpervier de Frances;Accipitriformes;Accipitridae
Accipiter gentilis (Linnaeus, 1758);Autour des palombes;Accipitriformes;Accipitridae
Accipiter gentilis arrigonii (Kleinschmidt, 1903);Autour des palombes (ssp. de Corse);Accipitriformes;Accipitridae
Accipiter gentilis gentilis (Linnaeus, 1758);;Accipitriformes;Accipitridae
Accipiter haplochrous P. L. Sclater, 1859;Autour Ö ventre blanc, êmouchet bleu, êpervier Ö ventre blanc, Buse blanche, Buse;Accipitriformes;Accipitridae
Accipiter nisus (Linnaeus, 1758);êpervier d'Europe;Accipitriformes;Accipitridae
Accipiter poliogaster (Temminck, 1824);Autour Ö ventre gris;Accipitriformes;Accipitridae
Accipiter quartus Balouet & Olson, 1989;;Accipitriformes;Accipitridae
Accipiter striatus Vieillot, 1807;êpervier brun;Accipitriformes;Accipitridae
Accipiter superciliosus (Linnaeus, 1766);êpervier nain;Accipitriformes;Accipitridae
Accipiter ventralis P. L. Sclater, 1866;;Accipitriformes;Accipitridae
Acridotheres fuscus (Wagler, 1827);;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Acridotheres tristis (Linnaeus, 1766);Merle des Moluques, Martin triste;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Acrocephalus agricola (Jerdon, 1845);Rousserolle isabelle;Passeriformes (Passereaux);Sylviidae
Acrocephalus arundinaceus (Linnaeus, 1758);Rousserolle turdoãde;Passeriformes (Passereaux);Sylviidae
Acrocephalus astrolabii Holyoak & Thibault, 1978;Rousserolle des Gambier, Rousserolle de Mangareva;Passeriformes (Passereaux);Sylviidae
Acrocephalus atyphus (Wetmore, 1919);;Passeriformes (Passereaux);Sylviidae
Acrocephalus atyphus atyphus (Wetmore, 1919);;Passeriformes (Passereaux);Sylviidae
Acrocephalus atyphus eremus (Wetmore, 1919);;Passeriformes (Passereaux);Sylviidae
Acrocephalus atyphus niauensis (Murphy & Mathews, 1929);;Passeriformes (Passereaux);Sylviidae
Acrocephalus atyphus palmarum (Murphy & Mathews, 1929);;Passeriformes (Passereaux);Sylviidae
Acrocephalus caffer (Sparrman, 1786);;Passeriformes (Passereaux);Sylviidae
Acrocephalus caffer caffer (Sparrman, 1786);;Passeriformes (Passereaux);Sylviidae
Acrocephalus dumetorum Blyth, 1849;Rousserolle des buissons;Passeriformes (Passereaux);Sylviidae
Acrocephalus longirostris (Gmelin, 1789);;Passeriformes (Passereaux);Sylviidae
Acrocephalus melanopogon (Temminck, 1823);Lusciniole Ö moustaches;Passeriformes (Passereaux);Sylviidae
Acrocephalus mendanae consobrinus (Murphy & Mathews, 1928);;Passeriformes (Passereaux);Sylviidae
Acrocephalus mendanae dido (Murphy & Mathews, 1928);;Passeriformes (Passereaux);Sylviidae
Acrocephalus mendanae fatuhivae (Murphy & Mathews, 1928);;Passeriformes (Passereaux);Sylviidae
Acrocephalus mendanae mendanae Tristram, 1883;;Passeriformes (Passereaux);Sylviidae
Acrocephalus mendanae Tristram, 1883;;Passeriformes (Passereaux);Sylviidae
Acrocephalus musae (Forster, 1844);Rousserolle des åles sous le Vent, Rousserolle de Raiatea;Passeriformes (Passereaux);Sylviidae
Acrocephalus musae garretti Holyoak & Thibault, 1978;;Passeriformes (Passereaux);Sylviidae
Acrocephalus musae musae (Forster, 1844);;Passeriformes (Passereaux);Sylviidae
Acrocephalus paludicola (Vieillot, 1817);Phragmite aquatique;Passeriformes (Passereaux);Sylviidae
Acrocephalus palustris (Bechstein, 1798);Rousserolle verderolle;Passeriformes (Passereaux);Sylviidae
Acrocephalus percernis (Wetmore, 1919);;Passeriformes (Passereaux);Sylviidae
Acrocephalus percernis aquilonis (Murphy & Mathews, 1928);;Passeriformes (Passereaux);Sylviidae
Acrocephalus percernis idae (Murphy & Mathews, 1928);;Passeriformes (Passereaux);Sylviidae
Acrocephalus percernis percernis (Wetmore, 1919);;Passeriformes (Passereaux);Sylviidae
Acrocephalus percernis postremus (Murphy & Mathews, 1928);;Passeriformes (Passereaux);Sylviidae
Acrocephalus rimitarae (Murphy & Mathrews, 1929);;Passeriformes (Passereaux);Sylviidae
Acrocephalus schoenobaenus (Linnaeus, 1758);Phragmite des joncs;Passeriformes (Passereaux);Sylviidae
Acrocephalus scirpaceus (Hermann, 1804);Rousserolle effarvatte;Passeriformes (Passereaux);Sylviidae
Actitis hypoleucos (Linnaeus, 1758);Chevalier guignette;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Actitis macularius (Linnaeus, 1766);Chevalier grivelÇ;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Aegithalos caudatus (Linnaeus, 1758);MÇsange Ö longue queue;Passeriformes (Passereaux);Aegithalidae
Aegolius acadicus (Gmelin, 1788);Chouette Limard, Petite nyctale;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Aegolius funereus (Linnaeus, 1758);Nyctale de Tengmalm, Chouette de Tengmalm;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Aegotheles savesi E. L. Layard & E. L. C. Layard, 1881;Egothäle calÇdonien;Caprimulgiformes;Aegothelidae
Aegypius monachus (Linnaeus, 1766);Vautour moine;Accipitriformes;Accipitridae
Aerodramus francicus (Gmelin, 1789);Salangane des Mascareignes;Caprimulgiformes;Apodidae
Aerodramus leucophaeus (Peale, 1848);;Caprimulgiformes;Apodidae
Aerodramus ocistus (Oberholser, 1906);;Caprimulgiformes;Apodidae
Aerodramus ocistus gilliardi (Somadikarta, 1994);;Caprimulgiformes;Apodidae
Aerodramus ocistus ocistus (Oberholser, 1906);;Caprimulgiformes;Apodidae
Aerodramus spodiopygius (Peale, 1848);Salangane Ö croupion blanc;Caprimulgiformes;Apodidae
Aerodramus spodiopygius leucopygius (Wallace, 1864);Salangane Ö croupion blanc;Caprimulgiformes;Apodidae
Aerodramus vanikorensis (Quoy & Gaimard, 1830);Salangane de Vanikoro;Caprimulgiformes;Apodidae
Aeronautes montivagus (d'Orbigny & Lafresnaye, 1837);Martinet montagnard;Caprimulgiformes;Apodidae
Aeronautes montivagus tatei (Chapman, 1929);;Caprimulgiformes;Apodidae
Agamia agami (Gmelin, 1789);HÇron agami, OnorÇ agami;Pelecaniformes;Ardeidae (HÇrons)
Agapornis canus (J. F. Gmelin, 1788);InsÇparable Ö tàte grise;Psittaciformes (Perroquets, perruches);Psittacidae
Agapornis fischeri Reichenow, 1887;InsÇparable de Fischer;Psittaciformes (Perroquets, perruches);Psittacidae
Agapornis personatus Reichenow, 1887;InsÇparable masquÇ;Psittaciformes (Perroquets, perruches);Psittacidae
Agapornis pullarius (Linnaeus, 1758);InsÇparable Ö tàte rouge;Psittaciformes (Perroquets, perruches);Psittacidae
Agelaius phoeniceus (Linnaeus, 1766);Carouge Ö Çpaulettes;Passeriformes (Passereaux);Icteridae
Agelasticus cyanopus (Vieillot, 1819);Carouge unicolore;Passeriformes (Passereaux);Icteridae
Aix galericulata (Linnaeus, 1758);Canard mandarin;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aix sponsa (Linnaeus, 1758);Canard carolin, Canard branchu;Anseriformes (Canards, Oies, Cygnes);Anatidae
Alauda arvensis Linnaeus, 1758;Alouette des champs;Passeriformes (Passereaux);Alaudidae
Alca torda Linnaeus, 1758;Petit pingouin, Pingouin torda;Charadriiformes (Limicoles);Alcidae (Macareux, Guillemots, Pingouins)
Alcedo atthis (Linnaeus, 1758);Martin-pàcheur d'Europe;Coraciiformes (Guàpiers);Alcedinidae
Alectoris barbara (Bonnaterre, 1790);Perdrix gambra;Galliformes;Phasianidae (TÇtras)
Alectoris chukar (J. E. Gray, 1830);Perdrix chukar, Perdrix choucar;Galliformes;Phasianidae (TÇtras)
Alectoris graeca (Meisner, 1804);Perdrix bartavelle;Galliformes;Phasianidae (TÇtras)
Alectoris graeca mediterranea Mourer-ChauvirÇ, 1975;;Galliformes;Phasianidae (TÇtras)
Alectoris rufa (Linnaeus, 1758);Perdrix rouge;Galliformes;Phasianidae (TÇtras)
Alectroenas sganzini (Bonaparte, 1854);Founingo des Comores;Columbiformes (Pigeons, Tourterelles);Columbidae
Alectroenas sganzini sganzini (Bonaparte, 1854);;Columbiformes (Pigeons, Tourterelles);Columbidae
Alle alle (Linnaeus, 1758);Mergule nain;Charadriiformes (Limicoles);Alcidae (Macareux, Guillemots, Pingouins)
Allenia fusca (Statius MÅller, 1776);Moqueur grivotte;Passeriformes (Passereaux);Mimidae
Alopecoenas erythropterus (Gmelin, 1789);;Columbiformes (Pigeons, Tourterelles);Columbidae
Alopecoenas rubescens (Vieillot, 1818);;Columbiformes (Pigeons, Tourterelles);Columbidae
Alopecoenas stairi (Gray, 1856);Gallicolombe de Stair;Columbiformes (Pigeons, Tourterelles);Columbidae
Alopochen aegyptiacus (Linnaeus, 1766);Ouette d'êgypte, Oie d'êgypte;Anseriformes (Canards, Oies, Cygnes);Anatidae
Alopochen kervazoi (G.S. Cowles, 1994);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Amadina fasciata (Gmelin, 1789);Amadine cou-coupÇ;Passeriformes (Passereaux);Estrildidae
Amandava amandava (Linnaeus, 1758);Bengali des Indes, Bengali rouge;Passeriformes (Passereaux);Estrildidae
Amaurolimnas concolor (Gosse, 1847);;Gruiformes (Grues);Rallidae
Amaurolimnas concolor castaneus (Pucheran, 1851);;Gruiformes (Grues);Rallidae
Amazilia brevirostris (Lesson, 1829);Ariane Ö poitrine blanche;Caprimulgiformes;Trochilidae
Amazilia brevirostris brevirostris (Lesson, 1829);;Caprimulgiformes;Trochilidae
Amazilia brevirostris orienticola Todd, 1942;Ariane Ö poitrine blanche (orienticola);Caprimulgiformes;Trochilidae
Amazilia fimbriata (Gmelin, 1788);Ariane de LinnÇ;Caprimulgiformes;Trochilidae
Amazilia leucogaster (Gmelin, 1788);Ariane vert-dorÇ;Caprimulgiformes;Trochilidae
Amazilia viridigaster (Bourcier, 1843);Ariane Ö ventre vert;Caprimulgiformes;Trochilidae
Amazilia viridigaster cupreicauda Salvin & Godman, 1884;Ariane Ö queue cuivrÇe;Caprimulgiformes;Trochilidae
Amazona amazonica (Linnaeus, 1766);Amazone aourou;Psittaciformes (Perroquets, perruches);Psittacidae
Amazona dufresniana (Shaw, 1812);Amazone de Dufresne;Psittaciformes (Perroquets, perruches);Psittacidae
Amazona farinosa (Boddaert, 1783);Amazone poudrÇe;Psittaciformes (Perroquets, perruches);Psittacidae
Amazona martinicana Clark, 1905;Amazone de la Martinique;Psittaciformes (Perroquets, perruches);Psittacidae
Amazona ochrocephala (Gmelin, 1788);Amazone Ö tàte jaune;Psittaciformes (Perroquets, perruches);Psittacidae
Amazona violacea (Gmelin, 1789);Perroquet de Guadeloupe;Psittaciformes (Perroquets, perruches);Psittacidae
Ammodramus humeralis (Bosc, 1792);Bruant des savanes;Passeriformes (Passereaux);Emberizidae (Bruants)
Ammodramus savannarum (Gmelin, 1789);;Passeriformes (Passereaux);Emberizidae (Bruants)
Amphispiza bilineata (Cassin, 1850);;Passeriformes (Passereaux);Emberizidae (Bruants)
Anabacerthia ruficaudata (D'Orbigny & Lafresnaye, 1838);;Passeriformes (Passereaux);Furnariidae
Anabacerthia ruficaudata flavipectus Phelps & Gilliard, 1941;;Passeriformes (Passereaux);Furnariidae
Anabacerthia ruficaudata ruficaudata (D'Orbigny & Lafresnaye, 1838);;Passeriformes (Passereaux);Furnariidae
Anas acuta Linnaeus, 1758;Canard pilet;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas aucklandica (G.R. Gray, 1844);Sarcelle de Nouvelle-ZÇlande;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas bahamensis Linnaeus, 1758;Canard des Bahamas, Pilet des Bahamas;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas crecca carolinensis Gmelin, 1789;Sarcelle Ö ailes vertes, Sarcelle de la Caroline;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas crecca crecca Linnaeus, 1758;Sarcelle d'hiver;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas crecca Linnaeus, 1758;Sarcelle d'hiver;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas cyanoptera Vieillot, 1816;Sarcelle cannelle;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas eatoni (Sharpe, 1875);Canard d'Eaton;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas eatoni drygalskii Reichenow, 1904;Canard de Crozet, Canard d'Eaton (Crozet);Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas eatoni eatoni (Sharpe, 1875);Canard des KerguÇlen, Canard d'Eaton (KerguÇlen);Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas gracilis Buller, 1869;Sarcelle australasienne, Sarcelle grise;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas marecula Olson & Jouventin, 1996;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas melleri P. L. Sclater, 1865;Canard de Meller;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas platyrhynchos Linnaeus, 1758;Canard colvert;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas rhynchotis Latham, 1801;Canard bridÇ, Souchet australien;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas rhynchotis rhynchotis Latham, 1801;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas rubripes Brewster, 1902;Canard noir;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas superciliosa Gmelin, 1789;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas superciliosa pelewensis Hartlaub & Finsch, 1872;Canard Ö sourcils, Canard sauvage;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anas theodori Newton & Gadow, 1893;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anhima cornuta (Linnaeus, 1766);Kamichi cornu;Anseriformes (Canards, Oies, Cygnes);Anhimidae
Anhinga anhinga (Linnaeus, 1766);Anhinga d'AmÇrique, Canard plongeur;Pelecaniformes;Anhingidae
Anous minutus H. Boie, 1844;Noddi noir;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Anous stolidus (Linnaeus, 1758);Noddi brun, Noddi niais;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Anous stolidus pileatus (Scopoli, 1786);Noddi brun;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Anous tenuirostris (Temminck, 1823);Noddi marianne, Noddi Ö bec gràle;Charadriiformes (Limicoles);Laridae (GoÇlands, Mouettes)
Anser albifrons (Scopoli, 1769);Oie rieuse;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser albifrons albifrons (Scopoli, 1769);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser albifrons flavirostris Dalgety & Scott, 1948;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser anser (Linnaeus, 1758);Oie cendrÇe;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser anser anser (Linnaeus, 1758);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser anser rubrirostris Swinhoe, 1871;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser brachyrhynchus (Baillon, 1833);Oie Ö bec court;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser caerulescens (Linnaeus, 1758);Oie des neiges;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser erythropus (Linnaeus, 1758);Oie naine;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser fabalis (Latham, 1787);Oie des moissons;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser fabalis fabalis (Latham, 1787);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser fabalis rossicus Buturlin, 1933;;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anser indicus (Latham, 1790);Oie Ö tàte barrÇe;Anseriformes (Canards, Oies, Cygnes);Anatidae
Anthracothorax nigricollis (Vieillot, 1817);Mango Ö cravate noire;Caprimulgiformes;Trochilidae
Anthracothorax viridigula (Boddaert, 1782);Mango Ö cravate verte;Caprimulgiformes;Trochilidae
Anthropoides virgo (Linnaeus, 1758);Grue demoiselle;Gruiformes (Grues);Gruidae
Anthus campestris (Linnaeus, 1758);Pipit rousseline;Passeriformes (Passereaux);Motacillidae
Anthus cervinus (Pallas, 1811);Pipit Ö gorge rousse;Passeriformes (Passereaux);Motacillidae
Anthus godlewskii (Taczanowski, 1876);Pipit de Godlewski;Passeriformes (Passereaux);Motacillidae
Anthus gustavi Swinhoe, 1863;Pipit de la Petchora;Passeriformes (Passereaux);Motacillidae
Anthus hodgsoni Richmond, 1907;Pipit Ö dos olive;Passeriformes (Passereaux);Motacillidae
Anthus lutescens Pucheran, 1855;Pipit jaunÉtre;Passeriformes (Passereaux);Motacillidae
Anthus petrosus (Montagu, 1798);Pipit maritime;Passeriformes (Passereaux);Motacillidae
Anthus petrosus littoralis Brehm, 1823;;Passeriformes (Passereaux);Motacillidae
Anthus petrosus petrosus (Montagu, 1798);;Passeriformes (Passereaux);Motacillidae
Anthus pratensis (Linnaeus, 1758);Pipit farlouse;Passeriformes (Passereaux);Motacillidae
Anthus richardi Vieillot, 1818;Pipit de Richard;Passeriformes (Passereaux);Motacillidae
Anthus rubescens (Tunstall, 1771);Pipit farlousane;Passeriformes (Passereaux);Motacillidae
Anthus spinoletta (Linnaeus, 1758);Pipit spioncelle;Passeriformes (Passereaux);Motacillidae
Anthus trivialis (Linnaeus, 1758);Pipit des arbres;Passeriformes (Passereaux);Motacillidae
Antigone canadensis (Linnaeus, 1758);Grue du Canada;Gruiformes (Grues);Gruidae
Antrostomus carolinensis (Gmelin, 1789);Engoulevent de Caroline;Caprimulgiformes;Caprimulgidae
Aphrodroma brevirostris (Lesson, 1831);PÇtrel de Kerguelen;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Aplonis diluvialis Steadman, 1989;;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Aplonis striata (Gmelin, 1788);;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Aplonis striata atronitens G. R. Gray, 1859;;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Aplonis striata striata (Gmelin, 1788);Stourne calÇdonien, Merle noir;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Aplonis tabuensis (Gmelin, 1788);;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Aplonis tabuensis fortunae E. L. Layard, 1876;;Passeriformes (Passereaux);Sturnidae (êtourneaux)
Aptenodytes forsteri G. R. Gray, 1844;Manchot empereur;Sphenisciformes;Spheniscidae
Aptenodytes patagonicus halli Mathews, 1911;;Sphenisciformes;Spheniscidae
Aptenodytes patagonicus Miller, 1778;Manchot royal;Sphenisciformes;Spheniscidae
Apus affinis (J.E. Gray, 1830);Martinet des maisons;Caprimulgiformes;Apodidae
Apus apus (Linnaeus, 1758);Martinet noir;Caprimulgiformes;Apodidae
Apus balstoni (E. Bartlett, 1880);;Caprimulgiformes;Apodidae
Apus barbatus (Sclater, 1866);Martinet;Caprimulgiformes;Apodidae
Apus barbatus mayottensis (Nicoll, 1906);Martinet du Cap;Caprimulgiformes;Apodidae
Apus pallidus (Shelley, 1870);Martinet pÉle;Caprimulgiformes;Apodidae
Aquila adalberti C. L. Brehm, 1861;Aigle ibÇrique;Accipitriformes;Accipitridae
Aquila chrysaetos (Linnaeus, 1758);Aigle royal;Accipitriformes;Accipitridae
Aquila fasciata Vieillot, 1822;Aigle de Bonelli;Accipitriformes;Accipitridae
Aquila heliaca Savigny, 1809;Aigle impÇrial;Accipitriformes;Accipitridae
Aquila nipalensis Hodgson, 1833;Aigle des steppes;Accipitriformes;Accipitridae
Ara ararauna (Linnaeus, 1758);Ara bleue;Psittaciformes (Perroquets, perruches);Psittacidae
Ara chloropterus G. R. Gray, 1859;Ara chloroptäre;Psittaciformes (Perroquets, perruches);Psittacidae
Ara guadeloupensis Clark, 1905;Ara de Guadeloupe;Psittaciformes (Perroquets, perruches);Psittacidae
Ara macao (Linnaeus, 1758);Ara rouge, Ara macao;Psittaciformes (Perroquets, perruches);Psittacidae
Ara severus (Linnaeus, 1758);Ara vert;Psittaciformes (Perroquets, perruches);Psittacidae
Aramides axillaris Lawrence, 1863;;Gruiformes (Grues);Rallidae
Aramides cajaneus (Statius MÅller, 1776);;Gruiformes (Grues);Rallidae
Aramides mangle (Spix, 1825);RÉle des palÇtuviers;Gruiformes (Grues);Rallidae
Aramus guarauna (Linnaeus, 1766);Courlan brun;Gruiformes (Grues);Aramidae
Aratinga nenday (Vieillot, 1823);Conure nanday;Psittaciformes (Perroquets, perruches);Psittacidae
Aratinga solstitialis (Linnaeus, 1758);;Psittaciformes (Perroquets, perruches);Psittacidae
Archilochus colubris Linnaeus, 1758;Colibri Ö gorge rubis;Caprimulgiformes;Trochilidae
Ardea alba alba Linnaeus, 1758;;Pelecaniformes;Ardeidae (HÇrons)
Ardea alba egretta Gmelin, 1789;Grande Aigrette (AmÇrique);Pelecaniformes;Ardeidae (HÇrons)
Ardea alba Linnaeus, 1758;Grande Aigrette;Pelecaniformes;Ardeidae (HÇrons)
Ardea alba melanorhynchos Wagler, 1827;Grande Aigrette;Pelecaniformes;Ardeidae (HÇrons)
Ardea alba modesta J. E. Gray, 1831;Aigrette d'Australasie;Pelecaniformes;Ardeidae (HÇrons)
Ardea cinerea Linnaeus, 1758;HÇron cendrÇ;Pelecaniformes;Ardeidae (HÇrons)
Ardea cocoi Linnaeus, 1766;HÇron cocoi, HÇron cocoã;Pelecaniformes;Ardeidae (HÇrons)
Ardea herodias Linnaeus, 1758;Grand HÇron;Pelecaniformes;Ardeidae (HÇrons)
Ardea herodias occidentalis Audubon, 1835;;Pelecaniformes;Ardeidae (HÇrons)
Ardea humbloti Milne-Edwards & Grandidier, 1885;HÇron de Humblot;Pelecaniformes;Ardeidae (HÇrons)
Ardea melanocephala Vigors & Children, 1826;HÇron mÇlanocÇphale;Pelecaniformes;Ardeidae (HÇrons)
Ardea purpurea Linnaeus, 1766;HÇron pourprÇ;Pelecaniformes;Ardeidae (HÇrons)
Ardenna carneipes (Gould, 1844);Puffin Ö pieds pÉles;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Ardenna gravis (O'Reilly, 1818);Puffin majeur;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Ardenna pacifica (Gmelin, 1789);Puffin fouquet, Puffin du Pacifique;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Ardenna pacifica chlororhynchus (Lesson, 1831);Puffin fouquet;Procellariiformes (PÇtrels tempàtes, Albatros);Procellariidae
Ardeola idae (Hartlaub, 1860);Crabier blanc, Crabier de Madagascar, Crabier malgache;Pelecaniformes;Ardeidae (HÇrons)
Ardeola ralloides (Scopoli, 1769);HÇron crabier, Crabier chevelu;Pelecaniformes;Ardeidae (HÇrons)
Arenaria interpres (Linnaeus, 1758);Tournepierre Ö collier;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Arenaria interpres morinella (Linnaeus, 1766);;Charadriiformes (Limicoles);Scolopacidae (BÇcasses)
Arremon taciturnus (Hermann, 1783);Tohi silencieux;Passeriformes (Passereaux);Emberizidae (Bruants)
Artamus cyanopterus (Latham, 1801);;Passeriformes (Passereaux);Artamidae
Artamus leucorhynchus (Linnaeus, 1771);;Passeriformes (Passereaux);Artamidae
Artamus leucorhynchus melaleucus (Wagler, 1827);Langrayen Ö ventre blanc, Hirondelle busiäre;Passeriformes (Passereaux);Artamidae
Arundinicola leucocephala (Linnaeus, 1764);Moucherolle Ö tàte blanche;Passeriformes (Passereaux);Tyrannidae
Asio clamator (Vieillot, 1807);Hibou striÇ;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Asio flammeus (Pontoppidan, 1763);Hibou des marais;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Asio otus (Linnaeus, 1758);Hibou moyen-duc;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Asio stygius (Wagler, 1832);Hibou maåtre-bois;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Athene cunicularia (Molina, 1782);Chevàche des terriers, Chouette des terriers;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Athene cunicularia minor (Cory, 1918);;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Athene noctua (Scopoli, 1769);Chouette chevàche, Chevàche d'AthÇna;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Athene noctua lunellensis Mourer-ChauvirÇ, 1975;;Strigiformes (Rapaces nocturnes (Chouettes, Hiboux));Strigidae
Atticora fasciata (Gmelin, 1789);Hirondelle Ö ceinture blanche;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Atticora tibialis (Cassin, 1853);Hirondelle Ö cuisses blanches;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Atticora tibialis griseiventris Chapman, 1924;;Passeriformes (Passereaux);Hirundinidae (Hirondelles)
Attila cinnamomeus (Gmelin, 1789);Attila cannelle;Passeriformes (Passereaux);Tyrannidae
Attila spadiceus (Gmelin, 1789);Attila Ö croupion jaune;Passeriformes (Passereaux);Tyrannidae
Aulacorhynchus derbianus Gould, 1835;Toucanet de Derby;Piciformes (Pics);Ramphastidae
Aulacorhynchus whitelianus osgoodi Blake, 1941;;Piciformes (Pics);Ramphastidae
Aulacorhynchus whitelianus Salvin & Godman, 1882;;Piciformes (Pics);Ramphastidae
Automolus infuscatus (Sclater, 1856);Anabate olivÉtre;Passeriformes (Passereaux);Furnariidae
Automolus infuscatus cervicalis (Sclater, 1889);;Passeriformes (Passereaux);Furnariidae
Automolus ochrolaemus (Tschudi, 1844);Anabate Ö gorge fauve;Passeriformes (Passereaux);Furnariidae
Automolus ochrolaemus turdinus (Pelzeln, 1859);;Passeriformes (Passereaux);Furnariidae
Automolus rufipileatus (Pelzeln, 1850);Anabate Ö couronne rousse;Passeriformes (Passereaux);Furnariidae
Automolus rufipileatus consobrinus (Sclater, 1870);;Passeriformes (Passereaux);Furnariidae
Avocettula recurvirostris (Swainson, 1822);Colibri avocette, Mango avocette;Caprimulgiformes;Trochilidae
Aythya affinis (Eyton, 1838);Fuligule Ö tàte noire, Petit Fuligule;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya americana (Eyton, 1838);Fuligule Ö tàte rouge;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya australis (Eyton, 1838);;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya australis australis (Eyton, 1838);Fuligule austral;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya collaris (Donovan, 1809);Fuligule Ö bec cerclÇ, Fuligule Ö collier;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya ferina (Linnaeus, 1758);Fuligule milouin;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya fuligula (Linnaeus, 1758);Fuligule morillon;Anseriformes (Canards, Oies, Cygnes);Anatidae
Aythya marila (Linnaeus, 1761);Fuligule milouinan;Anseriformes (Canards, Oies, Cygnes);Anatidae
